iter	Passed	Remaining
0	0	629
1	1	500
2	1	438
3	1	388
4	1	376
5	2	385
6	2	378
7	2	359
8	3	373
9	3	371
10	4	372
11	4	368
12	4	365
13	4	351
14	5	355
15	5	362
16	6	362
17	6	361
18	6	360
19	7	358
20	7	357
21	8	356
22	8	347
23	8	345
24	8	343
25	9	347
26	9	352
27	10	351
28	10	352
29	10	350
30	11	350
31	11	348
32	11	347
33	12	347
34	12	346
35	12	347
36	13	347
37	13	346
38	14	345
39	14	345
40	14	345
41	15	345
42	15	344
43	15	343
44	16	342
45	16	337
46	16	337
47	16	336
48	17	335
49	17	333
50	17	334
51	18	332
52	18	330
53	18	329
54	19	328
55	19	326
56	19	325
57	19	324
58	20	322
59	20	322
60	20	321
61	21	320
62	21	320
63	21	320
64	22	317
65	22	316
66	22	316
67	23	316
68	23	315
69	23	315
70	24	315
71	24	314
72	24	313
73	24	312
74	25	311
75	25	311
76	26	312
77	26	311
78	26	311
79	27	311
80	27	308
81	27	307
82	27	306
83	28	306
84	28	305
85	28	304
86	28	303
87	29	303
88	29	303
89	29	302
90	30	301
91	30	301
92	30	301
93	31	300
94	31	298
95	31	297
96	31	296
97	32	296
98	32	295
99	32	295
100	33	294
101	33	293
102	33	292
103	33	291
104	34	290
105	34	289
106	34	289
107	35	289
108	35	289
109	35	288
110	35	287
111	36	287
112	37	291
113	37	290
114	37	290
115	38	290
116	38	289
117	38	289
118	38	288
119	39	288
120	39	287
121	39	287
122	40	286
123	40	286
124	40	286
125	41	285
126	41	284
127	41	283
128	41	283
129	42	283
130	42	282
131	42	282
132	43	282
133	43	281
134	44	281
135	44	281
136	44	281
137	44	280
138	45	280
139	45	280
140	45	280
141	46	279
142	46	279
143	46	278
144	47	277
145	47	277
146	47	276
147	48	276
148	48	275
149	48	275
150	48	274
151	49	274
152	49	273
153	49	273
154	50	272
155	50	275
156	51	275
157	51	274
158	51	274
159	52	274
160	52	273
161	52	272
162	52	271
163	53	271
164	53	271
165	53	270
166	54	270
167	54	269
168	54	269
169	55	269
170	55	268
171	55	268
172	56	267
173	56	267
174	56	266
175	56	266
176	57	265
177	57	265
178	57	264
179	57	264
180	58	263
181	58	263
182	58	263
183	59	262
184	59	261
185	59	261
186	60	261
187	60	260
188	60	260
189	61	260
190	61	259
191	61	259
192	61	258
193	62	258
194	62	258
195	62	257
196	63	257
197	63	256
198	63	256
199	64	256
200	64	255
201	65	257
202	65	257
203	65	257
204	66	257
205	66	256
206	66	255
207	67	255
208	67	255
209	67	255
210	68	254
211	68	254
212	68	253
213	69	253
214	69	253
215	69	252
216	69	252
217	70	251
218	70	251
219	70	251
220	70	250
221	71	249
222	71	249
223	71	248
224	72	248
225	72	247
226	72	247
227	72	246
228	73	246
229	73	246
230	73	245
231	74	245
232	74	244
233	74	244
234	75	244
235	75	244
236	75	243
237	75	242
238	76	242
239	76	241
240	76	241
241	76	241
242	77	240
243	77	240
244	77	240
245	78	239
246	78	239
247	78	239
248	79	239
249	79	238
250	79	238
251	80	237
252	80	237
253	80	237
254	81	236
255	81	236
256	81	236
257	82	236
258	82	235
259	82	235
260	82	234
261	83	234
262	83	234
263	83	233
264	84	233
265	84	233
266	84	233
267	85	232
268	85	232
269	85	232
270	86	232
271	86	231
272	87	231
273	87	231
274	87	231
275	87	230
276	88	230
277	88	230
278	88	229
279	89	229
280	89	229
281	89	228
282	90	228
283	90	227
284	90	227
285	90	226
286	91	226
287	91	226
288	91	225
289	92	225
290	92	225
291	92	225
292	93	224
293	93	224
294	93	223
295	93	223
296	94	223
297	94	222
298	94	222
299	95	221
300	95	221
301	95	221
302	95	220
303	96	220
304	96	220
305	96	219
306	97	219
307	97	219
308	97	218
309	98	218
310	98	218
311	98	217
312	99	217
313	99	217
314	99	216
315	99	216
316	100	217
317	101	217
318	101	216
319	101	216
320	102	215
321	102	215
322	103	216
323	103	216
324	103	215
325	104	215
326	104	214
327	104	214
328	105	214
329	105	213
330	105	213
331	105	212
332	105	212
333	106	211
334	106	211
335	106	211
336	107	210
337	107	210
338	107	210
339	108	209
340	108	209
341	108	209
342	109	208
343	109	208
344	109	208
345	109	207
346	110	207
347	110	207
348	110	206
349	111	206
350	111	206
351	111	205
352	112	205
353	112	205
354	112	204
355	113	204
356	113	204
357	113	203
358	113	203
359	114	203
360	114	202
361	114	202
362	115	201
363	115	201
364	115	201
365	115	200
366	116	200
367	116	200
368	116	199
369	117	199
370	117	199
371	117	198
372	118	198
373	118	198
374	118	198
375	119	197
376	119	197
377	119	196
378	119	196
379	120	196
380	120	196
381	120	195
382	121	195
383	121	195
384	121	194
385	122	194
386	122	194
387	122	193
388	123	193
389	123	193
390	123	192
391	124	192
392	124	192
393	124	191
394	124	191
395	125	191
396	125	191
397	126	190
398	126	190
399	126	189
400	126	189
401	127	189
402	128	189
403	128	189
404	128	189
405	129	189
406	129	188
407	129	188
408	130	188
409	130	187
410	130	187
411	131	187
412	131	186
413	131	186
414	131	186
415	132	185
416	132	185
417	132	184
418	133	184
419	133	184
420	133	184
421	134	183
422	134	183
423	134	182
424	135	182
425	135	182
426	135	182
427	136	181
428	136	181
429	136	181
430	136	180
431	137	180
432	137	179
433	137	179
434	138	179
435	138	178
436	138	178
437	138	178
438	139	177
439	139	177
440	139	176
441	139	176
442	140	176
443	140	175
444	140	175
445	141	175
446	141	175
447	142	175
448	142	175
449	143	175
450	143	174
451	143	174
452	144	173
453	144	173
454	144	173
455	145	173
456	145	173
457	146	173
458	146	172
459	146	172
460	147	171
461	147	171
462	147	171
463	148	170
464	148	170
465	148	170
466	148	169
467	149	169
468	149	169
469	149	168
470	150	168
471	150	168
472	150	167
473	150	167
474	151	167
475	151	166
476	151	166
477	152	166
478	152	165
479	152	165
480	153	165
481	153	164
482	153	164
483	153	164
484	154	163
485	154	163
486	154	163
487	155	162
488	155	162
489	155	162
490	156	161
491	156	161
492	156	160
493	156	160
494	157	160
495	157	159
496	157	159
497	158	159
498	158	158
499	158	158
500	158	158
501	159	157
502	159	157
503	159	157
504	160	156
505	160	156
506	160	156
507	160	155
508	161	155
509	161	155
510	161	154
511	162	154
512	162	154
513	162	153
514	162	153
515	163	153
516	163	152
517	163	152
518	164	151
519	164	152
520	165	151
521	165	151
522	165	151
523	166	150
524	166	150
525	166	150
526	167	149
527	167	149
528	168	149
529	168	149
530	168	149
531	169	148
532	169	148
533	169	147
534	169	147
535	170	147
536	170	146
537	170	146
538	170	146
539	171	145
540	171	145
541	171	145
542	172	144
543	173	145
544	173	144
545	173	144
546	173	143
547	174	143
548	174	143
549	174	142
550	175	142
551	175	142
552	175	142
553	176	141
554	176	141
555	176	141
556	176	140
557	177	140
558	177	140
559	177	139
560	178	139
561	178	139
562	178	138
563	179	138
564	179	138
565	179	137
566	180	137
567	180	137
568	180	136
569	181	136
570	181	136
571	181	135
572	181	135
573	182	135
574	182	134
575	182	134
576	182	134
577	183	133
578	183	133
579	183	133
580	184	132
581	184	132
582	184	132
583	184	131
584	185	131
585	185	131
586	185	130
587	186	130
588	186	130
589	186	129
590	187	129
591	187	129
592	188	129
593	188	128
594	188	128
595	189	128
596	189	127
597	189	127
598	189	127
599	190	126
600	190	126
601	190	126
602	191	125
603	191	125
604	191	125
605	191	124
606	192	124
607	192	124
608	192	123
609	192	123
610	193	123
611	193	122
612	193	122
613	194	122
614	194	121
615	194	121
616	195	121
617	195	120
618	195	120
619	196	120
620	196	119
621	196	119
622	196	119
623	197	118
624	197	118
625	197	118
626	198	117
627	198	117
628	198	117
629	199	116
630	199	116
631	199	116
632	200	116
633	200	115
634	200	115
635	200	115
636	201	114
637	201	114
638	201	113
639	202	113
640	202	113
641	202	113
642	203	112
643	203	112
644	203	112
645	203	111
646	204	111
647	204	111
648	204	110
649	205	110
650	205	110
651	205	109
652	205	109
653	206	109
654	206	108
655	206	108
656	206	108
657	208	108
